,id,x,y,uwp,pbg,base,trade,ixexcx,ix
101,101,-18.33405458796844,-46.68934821400601,E200623-9,411,,Na Ni Va,{-2}(854+0)[4435],-2
102,102,-9.786426864090924,24.902831509110037,C9AA569-9,321,,Fl Ni,{-1}(A40-1)[843B],-1
103,103,-28.315881053454216,-39.93627442746768,E5357CA-8,232,,,{-2}(B64-5)[B556],-2
104,104,51.370081944049836,4.345444048768665,C222751-C,413,,Na,{+1}(B6B+0)[5839],1
105,105,-67.52269936907574,14.006390153642666,A100230-E,401,N,Lo Va,{+1}(811+0)[334H],1
106,106,-66.14447578053155,48.509208306378284,C557831-8,500,S,,{-1}(575-2)[B769],-1
107,107,45.52515171807627,30.63781936107275,A336569-E,700,,Ni,{+1}(742+0)[665E],1
108,108,-62.65750720999759,-15.476714317454876,C66A9B9-9,502,S,Hi,{+1}(A86-3)[AA4A],1
109,109,20.614196971653254,-47.877472218484264,C577558-8,402,S,Ag Ni,{-1}(742-2)[747B],-1
110,110,-39.19521919826578,15.418834910919465,E6306BB-4,301,,De Na Ni Po,{-3}(C50+0)[6363],-3
111,111,-10.844048704451502,85.92457814027334,E530354-9,510,,De Lo Po,{-2}(A20-2)[218D],-2
112,112,-10.413956191037755,1.8810992424870943,E482001-5,002,,,{-3}(900+0)[1111],-3
113,113,-6.854439245906785,21.65374065930983,E980455-2,102,,De Ni,{-3}(330-2)[2142],-3
114,114,-17.711171247683886,-78.05922975715734,B576546-A,324,,Ag Ni,{+2}(C46+1)[776C],2
115,115,-57.85069926080173,-57.11842677806498,A59666B-8,622,,Ag Ni,{+0}(C54+3)[4626],0
116,116,-16.076169745923675,56.82111518433981,B97538A-A,132,,Lo,{+1}(921-4)[448E],1
117,117,-37.49922949935891,-1.764503517259386,E67566A-2,402,,Ag Ni,{-2}(354+2)[8452],-2
118,118,-9.45796489298445,12.286219401160459,X852453-3,100,,Ni,{-3}(333+1)[2118],-3
119,119,-24.813018298165225,-79.54267210934509,E656300-4,401,,Lo,{-3}(820-4)[5159],-3
120,120,-4.24869505572032,45.653180087515686,D845331-6,732,S,Lo,{-3}(620-1)[8178],-3
121,121,75.85656222882943,-29.25744000781092,C545BEG-4,302,,Hi In,{+1}(6A7+0)[AC57],1
122,122,18.268197158074905,-15.446636767121792,X412458-5,402,,Ic Ni,{-3}(631+0)[7195],-3
123,123,-64.668576510224,-42.352066792174625,B420879-C,622,,De Na Po,{+2}(B7B-2)[BA4H],2
124,124,-23.835518124621125,-54.167012752773445,A6BA646-D,122,NS,Fl Ni,{+2}(A54+0)[283B],2
125,125,-3.3551103223193657,-22.222463300949833,B662A85-9,400,,Hi,{+2}(697-4)[BC47],2
126,126,57.833700507741284,37.70627048439194,A59A9AC-C,402,,Hi In,{+4}(68G+1)[BD6C],4
127,127,1.7754334967990948,-10.786492908633182,D338963-7,202,S,Hi In,{+0}(388+2)[996B],0
128,128,46.543733403617814,73.04471337850637,A5AA8AA-B,812,,Fl,{+2}(77A+1)[8A7A],2
129,129,-16.45835932743125,93.98571593797985,B433764-C,301,,Na,{+2}(D6D-2)[796C],2
130,130,56.488368120447994,71.98733235584704,A9BA434-B,302,,Fl Ni,{+1}(932-4)[455F],1
131,131,-10.9285226760373,-33.40905469094988,A684447-8,432,,Ni,{-1}(E35+2)[5374],-1
132,132,32.595986444592604,58.08910870636461,C5588A9-4,500,S,,{-1}(A77+0)[7747],-1
133,133,-48.342605458863616,-64.29431552283592,D212504-6,303,S,Ic Ni,{-3}(743+2)[3216],-3
134,134,20.788644446460204,79.16346444708773,B77A462-9,700,,Ni,{+0}(933+3)[349C],0
135,135,-15.476683373188083,44.68422730063286,E336454-6,431,,Ni,{-3}(630+0)[416A],-3
136,136,10.845459726431583,-65.48276192841062,D7968AE-4,800,,,{-2}(779-2)[D645],-2
137,137,-85.78085957930224,16.07190692499545,B4237CC-B,500,,Na,{+2}(A6A+0)[795D],2
138,138,48.647508201978006,-31.10926532138867,A67A154-D,533,N,Lo,{+1}(801+2)[127B],1
139,139,-35.868341208775576,-13.845305705990363,A530576-C,402,,De Ni Po,{+1}(A43+1)[567C],1
140,140,-0.5536249891937128,-52.93035884963526,B33659B-A,412,NS,Ni,{+2}(D45-4)[475D],2
141,141,38.08432132141482,-9.996481765958777,D686110-2,404,S,Lo,{-3}(B00+2)[1171],-3
142,142,-48.23846068551596,30.613182288406904,E000554-8,624,,As Ni Va,{-3}(A40+5)[725C],-3
143,143,-35.7806438344499,-11.85197319263116,B150101-B,802,,De Lo Po,{+1}(A01+2)[1259],1
144,144,-24.457217576724233,-92.2407693020926,B369698-A,702,,Ni Ri,{+2}(B56-4)[981D],2
145,145,55.86352187789008,-81.0876140972193,B993221-9,100,,Lo,{+0}(710-1)[7257],0
146,146,76.96068285176378,-19.552606774694613,C644358-7,300,S,Lo,{-2}(820+3)[3157],-2
147,147,-58.708547354287255,-77.84217617624792,D210986-5,100,,Hi In Na,{+0}(589-1)[6985],0
148,148,-55.362819470336035,65.88257339388907,A524887-D,100,NS,,{+3}(379+3)[BB5F],3
149,149,-51.527291049772295,40.7388894054439,B458122-9,502,,Lo,{+0}(B00+0)[4185],0
150,150,-3.39927757522851,21.154028605928875,A534646-D,600,,Ni,{+1}(555+1)[A79B],1
151,151,77.44575822360163,31.87946363450045,D545100-7,321,S,Lo,{-3}(900+1)[1148],-3
152,152,32.611454183118994,47.83518390261064,C9A9AED-5,200,S,Fl Hi In,{+1}(69D+0)[FB67],1
153,153,22.995056849599436,-17.69936300765924,X3109BC-2,102,,Hi In Na,{+0}(887+4)[D911],0
154,154,70.74678212397237,52.71383202162134,C6368BD-4,300,,,{-1}(777+1)[C735],-1
155,155,16.86709987368178,-71.74617165077764,B266554-C,200,,Ag Ni,{+2}(648+3)[679C],2
156,156,-0.8314301688781001,12.329749255897138,E7AA337-5,102,,Fl Lo,{-3}(A20-2)[4124],-3
157,157,57.004604687915084,45.34257215959276,E347234-6,420,,Lo,{-3}(910+2)[5164],-3
158,158,14.605109485127898,64.44069325930883,C686220-7,324,S,Lo,{-2}(910-1)[613A],-2
159,159,71.18748986489594,25.075752032905598,C410549-A,412,,Ni,{+0}(B41+2)[852D],0
160,160,12.732105992214237,-96.3998165123351,E7978BD-4,232,,,{-2}(378-1)[A624],-2
161,161,20.043769112430375,77.73997082276216,C783861-4,632,,Ri,{+0}(875+2)[7854],0
162,162,10.303424158304718,32.71081696563538,C552672-4,422,,Ni,{-2}(954-3)[5415],-2
163,163,49.785502826458284,36.32594851167941,C7BA014-B,020,,Fl,{+0}(800+0)[1111],0
164,164,69.63710701963657,-6.333510302848078,B657448-A,532,NS,Ni,{+2}(H37-2)[5689],2
165,165,32.6655732190068,52.32530386235985,E644698-1,104,,Ni,{-3}(253+0)[4364],-3
166,166,37.96514525047958,82.09701988124903,D592444-4,701,S,Ni,{-3}(B30+2)[7174],-3
167,167,-61.26049892115275,-68.47958446430296,D535200-3,402,S,Lo,{-3}(910-1)[11A4],-3
168,168,-85.63811856682575,-40.40065335310552,B667687-8,402,,Ag Ni Ri,{+1}(C57-3)[876A],1
169,169,39.590331236820695,4.17034344164906,D55779A-3,833,S,Ag,{-1}(96B+1)[6662],-1
170,170,-32.612825321987145,52.03259742118958,A544543-D,131,,Ni,{+1}(944+3)[765D],1
171,171,-53.96168762132214,44.75378984981211,C683301-5,631,,Lo,{-2}(420-2)[1168],-2
172,172,28.10376972340425,38.95275291886637,B776698-8,320,,Ag Ni,{+0}(956+0)[7648],0
173,173,-61.821879850430484,-73.03250452146742,X443753-1,504,,,{-2}(A66+3)[8522],-2
174,174,-20.5904929349094,67.22925497090327,C501977-6,630,,Hi Ic In Na Va,{+1}(586-2)[DA59],1
175,175,-31.1808781527688,-15.508778038719129,B7B8587-A,404,NS,Fl Ni,{+2}(D46+0)[1757],2
176,176,2.730816249038215,-8.269895286487138,C3389C8-8,111,S,Hi In,{+1}(A8A-1)[CA5A],1
177,177,-81.54119767737794,-44.20903801370564,C620846-7,102,S,De Na Po,{-1}(378+4)[9757],-1
178,178,-10.744262279366247,-90.28071519006953,C201468-7,432,,Ic Ni Va,{-2}(433+2)[1285],-2
179,179,-72.8397211828676,19.014739868550222,B366420-8,600,,Ni,{-1}(A35-1)[2336],-1
180,180,-12.367767249662176,55.76118786048971,E520221-6,534,,De Lo Po,{-3}(310+2)[3127],-3
181,181,45.399090627542904,-35.03637324632627,A300436-9,631,,Ni Va,{+0}(D36+1)[3459],0
182,182,96.88040472664274,18.097679535112565,E500656-7,402,,Na Ni Va,{-3}(750+1)[934C],-3
183,183,-92.74481548804165,15.75070805245029,E778524-1,931,,Ag Ni,{-2}(641-3)[4381],-2
184,184,80.0084585654798,-17.890216856093687,B000544-7,701,,As Ni Va,{-1}(845+0)[1453],-1
185,185,78.53647501295123,-26.071148994779136,E2479BD-7,500,,Hi In,{+0}(686+1)[7976],0
186,186,39.56038006979967,-19.92139006325133,B633337-6,630,,Lo,{-1}(620+0)[3238],-1
187,187,-16.090918567089286,37.56994450821638,A664599-A,800,N,Ag Ni,{+2}(747-1)[1767],2
188,188,56.46183251239203,-7.184884357393928,D411333-3,102,,Ic Lo,{-3}(820+1)[1133],-3
189,189,-22.18031426353877,-81.61589457704017,C443442-5,403,S,Ni,{-2}(730-2)[1266],-2
190,190,53.323254750352355,-79.11674538048703,B566274-7,430,,Lo,{-1}(510-3)[113A],-1
191,191,29.823193236657453,29.79278308517319,E538657-8,401,,Ni,{-3}(850+3)[5389],-3
192,192,47.05849130009327,-70.22505258131291,C877898-6,712,S,,{-1}(373+0)[C736],-1
193,193,-50.14813762316677,86.27679054920392,X526954-5,422,,Hi In,{+0}(387+2)[9923],0
194,194,-28.14818776748098,-82.51422216089692,A302057-E,002,NS,Ic Va,{+2}(900+4)[1111],2
195,195,15.75858686918885,-93.61012837590839,B56489A-7,232,NS,Ri,{+2}(97A-4)[7AA9],2
196,196,-24.155855720758023,-56.15411239797472,C585268-6,502,S,Lo,{-2}(610-2)[1156],-2
197,197,52.907665811429496,33.114317333871824,D33179D-3,812,S,Na Po,{-2}(667-3)[7572],-2
198,198,-64.84042774326919,-56.03674780648817,D565977-6,332,S,Hi,{-1}(588+5)[5846],-1
199,199,12.405574515285235,-67.30518312893929,C37558A-8,104,S,Ag Ni,{-1}(942-2)[3475],-1
200,200,29.382340218297553,42.744077063507866,B221788-B,400,,Na Po,{+2}(86A+0)[C969],2
201,201,-36.00867548886772,-73.03302841046096,C584743-8,712,,Ag Ri,{+1}(66A+1)[3867],1
202,202,48.86592864633501,-14.421551876112627,B3016BC-B,123,,Ic Na Ni Va,{+1}(C52+3)[3726],1
203,203,0.7526011838385971,-91.65527742560116,C8DA765-9,111,,,{+0}(567+0)[A75A],0
204,204,83.73374016896624,30.60744259492838,A598455-A,600,NS,Ni,{+2}(835+1)[166A],2
205,205,-67.95385204628785,-7.104852164438613,C545300-8,301,,Lo,{-2}(920+3)[4196],-2
206,206,-97.55179913454405,-17.39904762745983,C110101-6,522,S,Lo,{-2}(B00-2)[1164],-2
207,207,-33.1304454845685,-27.886001620518908,C565853-6,422,,Ri,{+0}(378-1)[C868],0
208,208,-58.25051580558207,13.008057862995637,X456369-3,632,,Lo,{-3}(720-2)[1175],-3
209,209,-31.32694103698366,38.789466308398325,B467113-8,732,,Lo,{-1}(900-4)[3146],-1
210,210,-68.10631595471126,-27.2761605717746,B520210-A,702,NS,De Lo Po,{+2}(512+1)[4467],2
211,211,-30.034927887489626,24.58639603646102,A444122-9,113,NS,Lo,{+1}(A01+1)[527B],1
212,212,88.84348340195298,27.935760317444604,A222543-B,332,,Ni,{+1}(D44+2)[764D],1
213,213,-12.185160822872131,-41.878526214399,B7B7766-6,702,,Fl,{+0}(368-2)[775A],0
214,214,-5.717581724737175,-31.33748634771363,D764546-4,204,S,Ag Ni,{-2}(543+3)[7365],-2
215,215,7.963222000573866,17.286900204454536,C4009DC-4,120,,Hi In Na Va,{+1}(788+2)[9A65],1
216,216,-31.97411453079406,-51.16498632601647,C597857-A,422,,,{+1}(E78+1)[996B],1
217,217,-21.05192237218656,-40.78317889577332,A437100-E,700,,Lo,{+1}(801-4)[629B],1
218,218,57.38829984574958,70.66264427545195,C332320-9,200,,Lo,{-1}(A20-5)[3298],-1
219,219,-79.86294821963405,40.4545919854244,B620310-7,600,,De Lo Po,{-1}(920+5)[1248],-1
220,220,-29.676658158891556,8.65949760416942,C465643-9,600,,Ag Ni Ri,{+1}(555+1)[976B],1
221,221,-28.247123584392742,-69.44000321055867,E000447-7,301,,As Ni Va,{-3}(631+4)[5197],-3
222,222,78.08440608784835,62.1831221754396,C545531-6,312,S,Ni,{-2}(441+4)[2359],-2
223,223,16.506259349752582,-84.62235983130464,C567898-6,232,,Ri,{+0}(377-1)[8829],0
224,224,71.6054820219686,-12.879656114443883,C59259E-6,812,,Ni,{-2}(844+1)[1346],-2
225,225,43.5108456337356,14.935637632232822,A300000-A,032,,Ba Va,{+1}(C00+1)[1111],1
226,226,49.63005988555429,-38.280681181783514,A780110-7,504,,De Lo,{-1}(A00-5)[1147],-1
227,227,-55.57538645368463,60.62478775034155,E868483-3,301,,Ni,{-3}(330+2)[3183],-3
228,228,-53.88094858341581,-24.306873564619714,B000984-B,302,,As Hi In Na Va,{+4}(789-2)[5D6A],4
229,229,59.657520519319384,-46.56325679154318,C310303-9,232,S,Lo,{-1}(H20+2)[1249],-1
230,230,-10.27412065365667,-95.18968564238348,E423002-3,002,,,{-3}(800-2)[1111],-3
231,231,-89.16950518060432,-2.637147368440207,C9858A9-4,502,,Ri,{+0}(974-1)[8882],0
232,232,-17.476439180284075,-75.13941724559967,C98447A-7,531,,Ni,{-2}(630+0)[4273],-2
233,233,72.0265427929867,50.73070827388011,C200767-6,722,S,Na Va,{-1}(B67+2)[9652],-1
234,234,-21.018857120344215,-47.95389273596224,E877555-2,800,,Ag Ni,{-2}(343+5)[6353],-2
235,235,58.79872567218196,22.493156276526484,C577200-7,100,S,Lo,{-2}(610+1)[2158],-2
236,236,-32.988554807110184,-62.586571504836556,C563225-8,602,,Lo,{-2}(C10-2)[3149],-2
237,237,-71.57551736769369,36.39917656881588,B677669-5,612,,Ag Ni,{+0}(651+0)[5663],0
238,238,-6.38393211030166,9.032945866862786,E57A452-9,601,,Ni,{-2}(A30+0)[7255],-2
239,239,76.33812943610587,-55.88557563724006,B775365-7,900,,Lo,{-1}(B20-1)[3289],-1
240,240,-24.47571284332113,-68.00910166262153,CDFA68A-A,502,,Ni,{+0}(C52+0)[8638],0
241,241,10.636468641520613,68.2025115126396,A556996-C,730,,Hi,{+3}(D89-1)[7C6B],3
242,242,-10.704468863181237,55.28961057417501,B201430-A,500,NS,Ic Ni Va,{+2}(738+4)[7676],2
243,243,67.38174624246984,42.25836403557788,C781155-4,802,,Lo,{-2}(700-3)[3143],-2
244,244,12.239836918909553,44.29915620632114,B553554-C,300,,Ni,{+1}(846+0)[465B],1
245,245,77.32526290226853,41.7349295288284,E6BA787-5,302,,Fl,{-2}(663+1)[A552],-2
246,246,17.463066195623856,-58.94292770457346,B400000-A,012,,Ba Va,{+1}(B00+3)[1111],1
247,247,28.28923627523676,-7.223262245473716,B642304-6,403,,Lo,{-1}(620+2)[1269],-1
248,248,-3.16497506179243,-48.047721053259984,B110644-9,503,,Na Ni,{+0}(E56-2)[9616],0
249,249,-34.079438479942596,29.907632029907138,B384454-C,611,NS,Ni,{+2}(935-1)[563A],2
250,250,56.22883816178535,-50.936866465644236,D344120-7,410,S,Lo,{-3}(600+0)[1166],-3
251,251,60.84803900423053,-73.63112263291643,B300744-A,112,,Na Va,{+2}(D67-3)[993B],2
252,252,-3.296715144257578,32.471829978818725,C768664-6,512,,Ag Ni Ri,{+0}(652-2)[5688],0
253,253,54.54134962756465,-49.140408438463744,C420476-9,320,S,De Ni Po,{-1}(934+4)[3398],-1
254,254,-43.751711404712054,13.46684536499836,A8CA357-B,322,N,Fl Lo,{+1}(A21+1)[3419],1
255,255,36.505682973046575,32.586067831884094,D656656-6,322,S,Ag Ni,{-2}(B50+0)[6449],-2
256,256,38.03555862339636,89.64601107295329,B836445-9,402,,Ni,{+0}(935+4)[545A],0
257,257,18.747801398903153,-17.08372046312714,E3009BC-5,702,,Hi In Na Va,{+0}(784-2)[B999],0
258,258,-33.80743487838418,-32.735849646589045,A246344-B,333,N,Lo,{+1}(921+3)[6488],1
259,259,69.99052261314385,39.83569875813184,C553421-5,104,,Ni,{-2}(A31-1)[3248],-2
260,260,62.4860760393984,35.07506881685569,E457873-6,402,,,{-2}(A75+0)[B688],-2
261,261,58.181493504409644,31.485904374697938,C313302-8,712,,Ic Lo,{-2}(A20-2)[6168],-2
262,262,-60.10723829166547,-38.43080298506278,B530962-8,132,,De Hi In Na Po,{+2}(F8D-2)[5B17],2
263,263,17.903843206758285,70.40920993880317,C444031-4,022,,,{-2}(A00-2)[1111],-2
264,264,-30.572577266916824,-47.901274518532034,B233037-9,002,,,{+0}(500+1)[1111],0
265,265,8.0088349383151,59.764228260267856,B785322-8,811,,Lo,{-1}(A20+1)[725A],-1
